Date,Close/Last
07/17/2025,$32.87
07/18/2025,$33.07
07/21/2025,$33.21
07/22/2025,$33.93
07/23/2025,$34.22
07/24/2025,$33.89
07/25/2025,$34.05
07/28/2025,$33.68
07/29/2025,$33.63
07/30/2025,$33.17
07/31/2025,$32.98
08/01/2025,$32.60
08/04/2025,$33.11
08/05/2025,$33.56
08/06/2025,$33.59
08/07/2025,$34.01
08/08/2025,$34.24
08/11/2025,$33.96
08/12/2025,$34.60
08/13/2025,$35.05
08/14/2025,$34.86
08/15/2025,$34.92
08/18/2025,$34.97
08/19/2025,$34.40
08/20/2025,$34.56
08/21/2025,$34.81
08/22/2025,$35.82
08/25/2025,$35.81
08/26/2025,$36.04
08/27/2025,$35.97
08/28/2025,$36.25
08/29/2025,$36.49
09/02/2025,$36.36
09/03/2025,$36.43
09/04/2025,$36.46
09/05/2025,$37.14
09/08/2025,$37.32
09/09/2025,$37.41
09/10/2025,$38.19
09/11/2025,$38.76
09/12/2025,$38.63
09/15/2025,$39.00
09/16/2025,$38.96
09/17/2025,$38.58
09/18/2025,$38.59
09/19/2025,$39.00
09/22/2025,$39.54
09/23/2025,$39.31
09/24/2025,$39.27
09/25/2025,$39.20
09/26/2025,$39.74
09/29/2025,$40.26
09/30/2025,$40.45
10/01/2025,$40.85
10/02/2025,$40.73
10/03/2025,$40.79
10/06/2025,$41.01
10/07/2025,$40.80
10/08/2025,$41.84
10/09/2025,$41.09
10/10/2025,$39.76
10/13/2025,$41.34
10/14/2025,$40.98
10/15/2025,$41.95
10/16/2025,$41.66
10/17/2025,$40.76
10/20/2025,$41.48
10/21/2025,$39.84
10/22/2025,$39.77
10/23/2025,$40.57
10/24/2025,$40.92
10/27/2025,$40.43
10/28/2025,$40.76
10/29/2025,$40.79
10/30/2025,$40.18
10/31/2025,$40.62
11/03/2025,$40.51
11/04/2025,$39.11
11/05/2025,$40.00
11/06/2025,$40.04
11/07/2025,$40.66
11/10/2025,$41.45
11/11/2025,$41.80
11/12/2025,$42.26
11/13/2025,$41.35
11/14/2025,$41.27
11/17/2025,$40.59
11/18/2025,$40.55
11/19/2025,$40.84
11/20/2025,$39.26
11/21/2025,$39.81
11/24/2025,$40.97
11/25/2025,$41.36
11/26/2025,$42.66
11/28/2025,$43.44
12/01/2025,$43.30
12/02/2025,$43.03
12/03/2025,$43.62
12/04/2025,$43.63
12/05/2025,$43.72
